group,col_num,original_col_name,short_col_name,data_type
HOBBIES & INTERESTS,50,Dancing,Dancing,Integer
HOBBIES & INTERESTS,51,Playing musical instruments,Musical instruments,Integer
HOBBIES & INTERESTS,52,Poetry writing,Writing,Integer
HOBBIES & INTERESTS,53,Sport and leisure activities,Passive sport,Integer
HOBBIES & INTERESTS,54,Sport at competitive level,Active sport,Integer
HOBBIES & INTERESTS,55,Gardening,Gardening,Integer
HOBBIES & INTERESTS,56,Celebrity lifestyle,Celebrities,Integer
HOBBIES & INTERESTS,57,Shopping,Shopping,Integer
HOBBIES & INTERESTS,58,Science and technology,Science and technology,Integer
HOBBIES & INTERESTS,59,Theatre,Theatre,Integer
HOBBIES & INTERESTS,60,Socializing,Fun with friends,Integer
HOBBIES & INTERESTS,61,Adrenaline sports,Adrenaline sports,Integer
HOBBIES & INTERESTS,62,Pets,Pets,Integer
PHOBIAS,63,Flying,Flying,Integer
PHOBIAS,64,"Thunder, lightning",Storm,Integer
PHOBIAS,65,Darkness,Darkness,Integer
PHOBIAS,66,Heights,Heights,Integer
PHOBIAS,67,Spiders,Spiders,Integer
PHOBIAS,68,Snakes,Snakes,Integer
PHOBIAS,69,"Rats, mice",Rats,Integer
PHOBIAS,70,Ageing,Ageing,Integer
PHOBIAS,71,Dangerous dogs,Dangerous dogs,Integer
PHOBIAS,72,Public speaking,Fear of public speaking,Integer
HEALTH HABITS,73,Smoking habits,Smoking,Categorical
HEALTH HABITS,74,Drinking,Alcohol,Categorical
HEALTH HABITS,75,I live a very healthy lifestyle.,Healthy eating,Integer
PERSONALITY TRAITS,76,I take notice of what goes on around me.,Daily events,Integer
PERSONALITY TRAITS,77,I try to do tasks as soon as possible and not leave them until last minute.,Prioritising workload,Integer
PERSONALITY TRAITS,78,I always make a list so I don't forget anything.,Writing notes,Integer
PERSONALITY TRAITS,79,I often study or work even in my spare time.,Workaholism,Integer
PERSONALITY TRAITS,80,I look at things from all different angles before I go ahead.,Thinking ahead,Integer
PERSONALITY TRAITS,81,I believe that bad people will suffer one day and good people will be rewarded.,Final judgement,Integer
PERSONALITY TRAITS,82,I am reliable at work and always complete all tasks given to me.,Reliability,Integer
PERSONALITY TRAITS,83,I always keep my promises.,Keeping promises,Integer
PERSONALITY TRAITS,84,I can fall for someone very quickly and then completely lose interest.,Loss of interest,Integer
PERSONALITY TRAITS,85,I would rather have lots of friends than lots of money.,Friends versus money,Integer
PERSONALITY TRAITS,86,I always try to be the funniest one.,Funniness,Integer
PERSONALITY TRAITS,87,I can be two faced sometimes.,Fake,Integer
PERSONALITY TRAITS,88,I damaged things in the past when angry.,Criminal damage,Integer
PERSONALITY TRAITS,89,I take my time to make decisions.,Decision making,Integer
PERSONALITY TRAITS,90,I always try to vote in elections.,Elections,Integer
PERSONALITY TRAITS,91,I often think about and regret the decisions I make.,Self-criticism,Integer
PERSONALITY TRAITS,92,I can tell if people listen to me or not when I talk to them.,Judgment calls,Integer
PERSONALITY TRAITS,93,I am a hypochondriac.,Hypochondria,Integer
PERSONALITY TRAITS,94,I am emphatetic person.,Empathy,Integer
PERSONALITY TRAITS,95,I eat because I have to. I don't enjoy food and eat as fast as I can.,Eating to survive,Integer
PERSONALITY TRAITS,96,I try to give as much as I can to other people at Christmas.,Giving,Integer
PERSONALITY TRAITS,97,I don't like seeing animals suffering.,Compassion to animals,Integer
PERSONALITY TRAITS,98,I look after things I have borrowed from others.,Borrowed stuff,Integer
PERSONALITY TRAITS,99,I feel lonely in life.,Loneliness,Integer
PERSONALITY TRAITS,100,I used to cheat at school.,Cheating in school,Integer
PERSONALITY TRAITS,101,I worry about my health.,Health,Integer
PERSONALITY TRAITS,102,I wish I could change the past because of the things I have done.,Changing the past,Integer
PERSONALITY TRAITS,103,I believe in God.,God,Integer
PERSONALITY TRAITS,104,I always have good dreams.,Dreams,Integer
PERSONALITY TRAITS,105,I always give to charity.,Charity,Integer
PERSONALITY TRAITS,106,I have lots of friends.,Number of friends,Integer
PERSONALITY TRAITS,107,Timekeeping.,Punctuality,Categorical
PERSONALITY TRAITS,108,Do you lie to others?,Lying,Categorical
PERSONALITY TRAITS,109,I am very patient.,Waiting,Integer
PERSONALITY TRAITS,110,I can quickly adapt to a new environment.,New environment,Integer
PERSONALITY TRAITS,111,My moods change quickly.,Mood swings,Integer
PERSONALITY TRAITS,112,I am well mannered and I look after my appearance.,Appearence and gestures,Integer
PERSONALITY TRAITS,113,I enjoy meeting new people.,Socializing,Integer
PERSONALITY TRAITS,114,I always let other people know about my achievements.,Achievements,Integer
PERSONALITY TRAITS,115,I think carefully before answering any important letters.,Responding to a serious letter,Integer
PERSONALITY TRAITS,116,I enjoy childrens' company.,Children,Integer
PERSONALITY TRAITS,117,I am not afraid to give my opinion if I feel strongly about something.,Assertiveness,Integer
PERSONALITY TRAITS,118,I can get angry very easily.,Getting angry,Integer
PERSONALITY TRAITS,119,I always make sure I connect with the right people.,Knowing the right people,Integer
PERSONALITY TRAITS,120,I have to be well prepared before public speaking.,Public speaking,Integer
PERSONALITY TRAITS,121,I will find a fault in myself if people don't like me.,Unpopularity,Integer
PERSONALITY TRAITS,122,I cry when I feel down or things don't go the right way.,Life struggles,Integer
PERSONALITY TRAITS,123,I am 100% happy with my life.,Happiness in life,Integer
PERSONALITY TRAITS,124,I am always full of life and energy.,Energy levels,Integer
PERSONALITY TRAITS,125,"I prefer big dangerous dogs to smaller, calmer dogs.",Small - big dogs,Integer
PERSONALITY TRAITS,126,I believe all my personality traits are positive.,Personality,Integer
PERSONALITY TRAITS,127,If I find something the doesn't belong to me I will hand it in.,Finding lost valuables,Integer
PERSONALITY TRAITS,128,I find it very difficult to get up in the morning.,Getting up,Integer
PERSONALITY TRAITS,129,I have many different hobbies and interests.,Interests or hobbies,Integer
PERSONALITY TRAITS,130,I always listen to my parents' advice.,Parents' advice,Integer
PERSONALITY TRAITS,131,I enjoy taking part in surveys.,Questionnaires or polls,Integer
PERSONALITY TRAITS,132,How much time do you spend online?,Internet usage,Categorical
SPENDING HABITS,133,I save all the money I can.,Finances,Integer
SPENDING HABITS,134,I enjoy going to large shopping centres.,Shopping centres,Integer
SPENDING HABITS,135,I prefer branded clothing to non branded.,Branded clothing,Integer
SPENDING HABITS,136,I spend a lot of money on  partying and socializing.,Entertainment spending,Integer
SPENDING HABITS,137,I spend a lot of money on my appearance.,Spending on looks,Integer
SPENDING HABITS,138,I spend a lot of money on gadgets.,Spending on gadgets,Integer
SPENDING HABITS,139,"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating,Integer
DEMOGRAPHICS,140,Age,Age,Integer
DEMOGRAPHICS,141,Height,Height,Integer
DEMOGRAPHICS,142,Weight,Weight,Integer
DEMOGRAPHICS,143,How many siblings do you have?,Number of siblings,Integer
DEMOGRAPHICS,144,Gender,Gender,Categorical
DEMOGRAPHICS,145,I am,Left - right handed,Categorical
DEMOGRAPHICS,146,Highest education achieved,Education,Categorical
DEMOGRAPHICS,147,I am the only child,Only child,Categorical
DEMOGRAPHICS,148,I spent most of my childhood in a,Village - town,Categorical
DEMOGRAPHICS,149,I lived most of my childhood in a,House - block of flats,Categorical
